"id";"name";"team_id";"value";"sporza_name"
"446";"Pol Garcia";"16";"4";"Pol Garcia"
"447";"Sascha Kotysch";"16";"4";"Sascha Kotysch"
"448";"Takehiro Tomiyasu";"16";"4";"Takehiro Tomiyasu"
"449";"Samy Mmaee";"16";"4";"Samy Mmaee"
"450";"Casper De Norre";"16";"9";"Casper De Norre"
"451";"Thallyson";"16";"3";"Thallyson"
"452";"Yuta Koike";"16";"1";"Yuta Koike"
"453";"Damien Dussaut";"16";"6";"Damien Dussaut"
"454";"Wataru Endo";"16";"15";"Wataru Endo"
"455";"Steven De Petter";"16";"5";"Steven De Petter"
"456";"Ibrahima Sory Sankhon";"16";"3";"Ibrahima Sankhon"
"457";"Ian Opdenakker";"16";"1";"Ian Opdenakker"
"458";"Samuel Asamoah";"16";"6";"Samuel Asamoah"
"459";"Takahiro Sekine";"16";"6";"Takahiro Sekine"
"460";"Alexis de Sart";"16";"15";"Alexis de Sart"
"461";"Roman Bezus";"16";"12";"Roman Bezus"
"462";"Daichi Kamada";"16";"10";"Daichi Kamada"
"463";"Alexandre De Bruyn";"16";"4";"Alexandre De Bruyn"
"464";"Cristian Ceballos";"16";"7";"Cristian Ceballos"
"465";"Elton Acolatse";"16";"6";"Elton Acolatse"
"466";"Jordan Botaka";"16";"8";"Jordan Botaka"
"467";"Jonathan Legear";"16";"7";"Jonathan Legear"
"468";"Mohamed Buya";"16";"13";"Mohamed Buya"
"469";"Yohan Boli";"16";"9";"Yohan Boli"
"470";"Paul Gladon";"16";"7";"Paul Gladon"
"471";"Duckens Nazon";"16";"4";"Duckens Nazon"
"472";"Wolke Janssens";"16";"3";"Wolke Janssens"
"473";"Duje Cop";"3";"25";"Duje Cop"
"474";"Yuya Kubo";"15";"45";"Yuya Kubo"
"475";"Thomas Foket";"15";"35";"Thomas Foket"
"476";"Samuel Kalu";"15";"80";"Samuel Kalu"
"477";"Fabien Antunes";"16";"4";"Fabien Antunes"
"478";"Onur Kaya";"14";"9";"Onur Kaya"
"479";"Fredrik Oldrup Jensen";"14";"6";"Fredrik Oldrup Jensen"
"480";"Joachim Van Damme";"7";"3";"Joachim Van Damme"
"481";"Nicolas Rajsel";"5";"5";"Nicolas Rajsel"
"482";"Ramin Rezaeian";"5";"10";"Ramin Rezaeian"
"483";"Jérémy Huyghebaert";"11";"5";"Jérémy Huyghebaert"
"484";"Alexander Scholz";"1";"22";"Alexander Scholz"
"485";"Florian Raspentino";"8";"7";"Florian Raspentino"
"486";"Omid Norafkan";"4";"1";"Omid Norafkan"
"487";"Goune Niangadou";"13";"3";"Goune Niangadou"
"488";"Nader Ghandri";"13";"4";"Nader Ghandri"
"489";"Mijat Maric";"2";"4";"Mijat Maric"
"490";"Robin Söder";"2";"8";"Robin Söder"
"491";"Laurent Mendy";"13";"2";"Laurent Mendy"
"492";"Mathieu De Smet";"14";"1";"Mathieu De Smet"
"493";"Ewoud Pletinckx";"14";"1";"Ewoud Pletinckx"
